text,hour,minute,second,day,month,year,datetime,text_clean,sentiment
"""foda-se a eleição, eu quero ver o jogo porrraaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"" - Álvaro Dias",19,24,23,26,9,2018,2018-09-26 19:24:23,foder o eleição querer o jogar porrraaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa álvaro,0.0
MANO O DACIOLO É FODA GLÓRIA DEUS,19,12,45,26,9,2018,2018-09-26 19:12:45,manir o daciolo foder glória deus,1.0
"Porra Daciolo eu tinha até me emocionado com a declaração pra mamãe e esposa, agora tu mete essa de voto impresso meu consagrado? #DebateSBT",19,13,41,26,9,2018,2018-09-26 19:13:41,porra daciolo emocionar o declaração pra mamãe e esposo meter votar impresso consagrar debatesbt,-1.0
"Daciolo falou pouco, mas falou bonito...",18,37,45,26,9,2018,2018-09-26 18:37:45,daciolo falar falar bonito,1.0
"@morgalashnikova Eu n valorizei a grandeza desse candidato antes, mas agora eu percebi meu engano. 51 é só coisa boa, pinga e Daciolo",19,12,20,26,9,2018,2018-09-26 19:12:20,@morgalashnikova n valorizar o grandeza d candidatar antar perceber enganir 51 só pingar e daciolo,1.0
"""Você é um Sérgio Cabral que não está preso"", diz @GuilhermeBoulos a @geraldoalckmin, que rebate: ""eu nunca invadi… https://t.co/acuoXtKrho",17,53,30,26,9,2018,2018-09-26 17:53:30,sérgio cabral presar @guilhermeboulos o @geraldoalckmin rebater invadir …,0.0
A verdade senhores é que o Cabo Daciolo confronta melhor o MDB e o Temer do que Andrade... 🤣 #DebateSBT #Ciro12,18,19,0,26,9,2018,2018-09-26 18:19:00,o senhor o cabo daciolo confrontar melhor o mdb e o temer andrade 🤣 debatesbt ciro12,1.0
MEU DEUS O DACIOLO,19,13,55,26,9,2018,2018-09-26 19:13:55,deus o daciolo,1.0
BOULOS E DACIOLO EU SHIPPO,19,14,0,26,9,2018,2018-09-26 19:14:00,boulos e daciolo shippo,1.0
"Uma pena você pode ajudar o PT a ir para o 2º turno, fazendo o seu voto no Bolsonaro liquidaria essa eleição no 1º… https://t.co/aWDH4MLC7Y",19,25,57,26,9,2018,2018-09-26 19:25:57,umar peno ajudar o pt o parir o 2º turno o votar o bolsonaro liquidar eleição o 1º …,-1.0
"Debate do SBT: Daciolo diz ""Que gosto é a democracia, um banqueiro fazendo uma pergunta a um cabo.""

Meirelles diz ""Não sou banqueiro, sou bancário"" - arrancando gargalhadas da platéia.

Engana quem?",18,32,44,26,9,2018,2018-09-26 18:32:44,debater sbt daciolo gostar o democracia banqueiro umar perguntar o cabo meirelles banqueiro bancário arrancar gargalhar platéia enganir,1.0
marina saindo de porta em porta de todas casas do brasil pedindo trocado pras mulheres,19,20,19,26,9,2018,2018-09-26 19:20:19,marino sair portar portar casar brasil pedir trocar pras mulher,-1.0
"GENTE O QUE FOI ISSO DO CABO DACIOLO???!!??!??!?? 

maravilhoso 
kjkkjkjjm",19,13,4,26,9,2018,2018-09-26 19:13:04,gente o cabo daciolo maravilhoso kjkkjkjjm,1.0
"Henrique Meirelles

primeiro brasileiro a presidir um banco americano
ministro da fazenda e presidente do BC 
trezentos milhão na conta

e termina tendo que fazer pergunta pro cabo daciloucos numa quarta à tarde #DebateSBT",18,14,26,26,9,2018,2018-09-26 18:14:26,henrique meirelles brasileiro o presidir banco americano ministrar fazenda e presidente bc trezentos milhão o contar e terminar perguntar pro cabo daciloucos tardar debatesbt,-1.0
Chegueiii pra o debate o que eu perdi???,17,55,35,26,9,2018,2018-09-26 17:55:35,chegueiii pra o debater o perder,0.0
"Mulheres brasileiras, eu amo vocês ( DACIOLO, Cabo)",19,16,20,26,9,2018,2018-09-26 19:16:20,mulher brasileiro amar daciolo cabo,1.0
